CountryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,5.17,5.68,6.05,6.25,6.32,6.25,6.12,5.88,5.59,5.26,4.91,4.55,4.21,3.89,3.63,3.44,3.33,3.27,3.22,3.17,3.13,3.09,3.05,3.01,2.96,2.89
Senegal,0.1732,0.201,0.2341,0.2728,0.3189,0.3742,0.4386,0.5103,0.5866,0.6641,0.7376,0.7998,0.8506,0.8821,0.8919,0.8798,0.8481,0.8082,0.78,0.7411,0.7009,0.6617,0.6238,0.5873,0.5531,0.5201
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0.0164,0.0302,0.0531,0.0888,0.1409,0.214,0.3106,0.4301,0.5761,0.7402,0.9164,1.09,1.26,1.42,1.54,1.63,1.69,1.71,1.69,1.66,1.61,1.56,1.51,1.45,1.39,1.34
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovak republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0.0787,0.1225,0.1757,0.2371,0.3039,0.373,0.4401,0.5019,0.5527,0.592,0.6194,0.6353,0.6428,0.6437,0.6395,0.6317,0.6216,0.6048,0.588,0.5719,0.5564,0.5418,0.5286,0.5171,0.5072,0.4985
South Africa,0.9614,1.6,2.57,3.94,5.74,7.91,10.33,12.81,15.11,17.11,18.71,19.87,20.6,20.95,20.98,20.76,20.37,19.94,19.51,19.15,18.89,18.78,18.76,18.85,19.03,19.2
South Sudan,0.1497,0.2604,0.4279,0.6397,0.8731,1.11,1.37,1.64,1.92,2.19,2.43,2.64,2.8,2.85,2.87,2.87,2.87,2.84,2.8,2.76,2.71,2.65,2.6,2.55,2.51,2.47
Spain,0.3806,0.4192,0.4497,0.4612,0.4649,0.461,0.4573,0.4563,0.4598,0.4603,0.4603,0.4582,0.4559,0.4542,0.4517,0.4485,0.4453,0.442,0.4372,0.4315,0.4271,0.4213,0.4144,0.4063,0.3972,0.3872
